Date,DDoS-ALL,Phishing-ALL,Ransomware-ALL,Password Attack-ALL,SQL Injection-ALL,Account Hijacking-ALL,Defacement-ALL,Trojan-ALL,Vulnerability-ALL,Zero-day-ALL,Advanced persistent threat-ALL,XSS-ALL,Malware-ALL,Data Breach-ALL,Disinformation/Misinformation-ALL,Targeted Attack-ALL,Adware-ALL,Brute Force Attack-ALL,Malvertising-ALL,Backdoor-ALL,Botnet-ALL,Cryptojacking-ALL,Worms-ALL,Spyware-ALL,Unknown-ALL,Others-ALL,WAR/CONFLICT ALL
Jul-11,2,1,0,8,13,0,7,0,0,0,2,0,1,9,0,0,0,0,0,0,0,0,0,0,0,12,2045
Aug-11,2,0,0,7,56,0,44,0,3,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,2,4441
Sep-11,2,0,0,42,20,0,9,3,40,37,4,0,9,27,0,0,0,0,0,0,0,0,0,0,0,44,4401
Oct-11,38,38,0,38,84,1,125,2,38,0,63,0,24,123,0,0,0,0,0,1,0,0,0,0,0,8,5136
Nov-11,7,38,0,32,49,0,11,0,40,2,5,37,79,52,0,0,0,0,0,0,0,0,0,0,0,10,18985
Dec-11,4,2,0,27,45,0,88,1,5,1,38,1,7,140,0,0,0,0,0,0,1,0,0,0,0,9,12166
Jan-12,36,7,0,46,143,2,96,3,2,1,4,37,13,107,1,0,0,0,0,2,0,0,2,0,0,50,9674
Feb-12,8,1,0,30,32,1,13,0,4,0,0,2,4,51,0,0,0,0,0,0,0,0,0,0,0,9,13867
Mar-12,6,2,0,26,53,15,23,3,2,0,1,0,6,57,0,0,0,0,0,0,0,0,1,0,0,10,9593
Apr-12,58,0,0,16,13,1,16,0,3,2,0,0,7,13,0,0,0,0,0,0,1,0,0,0,0,5,6335
May-12,35,1,0,29,53,3,6,0,1,0,3,0,4,42,0,0,0,0,0,0,0,0,0,0,0,17,11837
Jun-12,12,1,0,29,33,4,2,0,53,51,1,0,4,35,0,0,0,0,0,1,0,0,1,0,48,52,10429
Jul-12,2,0,0,61,17,0,3,1,1,0,3,0,2,109,0,0,0,0,0,0,0,0,0,0,46,3,8529
Aug-12,15,0,0,26,68,2,6,1,1,0,2,0,9,26,0,0,0,0,0,0,1,0,0,0,20,3,10771
Sep-12,15,1,0,33,40,3,5,37,1,0,0,0,45,19,0,43,0,0,0,1,0,0,0,0,19,1,12298
Oct-12,15,0,0,51,18,3,2,1,2,0,0,2,5,50,0,2,0,0,0,0,0,0,0,0,52,10,15032
Nov-12,7,1,0,59,80,1,8,0,4,1,0,2,10,57,0,7,0,0,0,0,0,0,0,0,26,38,18681
Dec-12,9,0,1,12,25,3,4,0,8,1,0,2,10,64,0,6,0,0,0,1,1,0,0,0,54,0,7377
Jan-13,34,0,0,10,85,0,8,0,19,0,0,2,2,62,0,42,0,0,0,0,0,0,0,0,56,3,13605
Feb-13,5,0,0,9,61,43,42,0,2,0,0,0,20,61,0,27,0,0,0,0,0,0,0,0,17,44,9011
Mar-13,23,0,0,6,17,9,3,1,5,0,0,1,11,13,0,43,0,0,0,0,1,0,0,0,8,3,20202
Apr-13,19,1,0,12,12,6,4,0,1,1,0,0,40,52,0,2,0,3,0,1,0,0,0,0,16,6,17102
May-13,8,0,0,45,26,10,3,0,41,0,0,1,4,22,0,10,0,0,0,1,0,0,0,1,17,3,13531
Jun-13,10,1,0,14,18,7,7,0,1,1,0,0,9,54,0,44,0,0,0,1,0,0,0,0,48,4,6429
Jul-13,3,1,0,14,12,19,9,1,1,0,0,1,9,23,0,4,0,1,0,0,0,0,0,0,18,5,14370
Aug-13,13,0,0,6,9,18,44,0,2,0,0,0,4,284,1,2,0,0,0,1,0,0,0,1,16,10,47498
Sep-13,8,0,0,0,5,8,13,1,0,0,0,0,8,15,0,6,0,0,0,0,1,0,0,0,10,42,42481
Oct-13,6,2,0,7,6,5,18,38,1,0,0,0,45,18,0,3,0,0,0,0,2,0,0,0,17,8,9126
Nov-13,21,0,0,22,4,23,21,1,1,1,0,0,79,17,0,3,0,1,0,37,1,0,74,0,30,40,7663
Dec-13,22,0,0,60,21,6,8,0,0,0,0,0,5,54,0,18,0,0,0,0,0,0,0,0,24,41,4702
Jan-14,7,2,0,7,8,7,14,1,2,2,0,2,49,15,0,40,0,1,0,0,1,0,0,0,12,0,7004
Feb-14,9,0,0,6,10,7,8,0,2,0,0,0,77,20,0,1,0,0,0,0,37,0,0,0,16,42,9075
Mar-14,20,2,0,44,43,10,42,0,78,0,0,0,45,24,0,1,0,0,0,1,0,0,0,0,20,79,32149
Apr-14,5,1,0,11,16,8,9,1,6,0,0,0,6,10,0,1,0,0,0,1,1,0,0,0,20,1,19292
May-14,4,1,0,4,1,9,9,0,1,0,0,0,3,5,0,3,0,0,0,0,0,0,0,0,11,10,14883
Jun-14,10,37,0,3,10,4,15,0,2,0,0,1,8,5,0,70,0,0,0,0,0,0,1,0,24,1,15619
Jul-14,3,1,0,4,2,6,8,1,41,1,0,0,12,10,0,156,0,0,0,0,1,0,0,0,26,10,37042
Aug-14,5,1,0,44,43,5,13,0,1,0,0,0,86,12,0,82,0,0,37,0,0,0,0,1,17,3,34132
Sep-14,4,0,0,10,9,10,8,5,37,0,0,1,22,19,0,15,0,1,2,0,0,0,0,0,19,2,21684
Oct-14,3,3,1,6,50,10,12,0,79,74,0,0,93,15,0,228,0,1,1,37,38,0,75,0,11,3,19332
Nov-14,10,0,0,5,43,6,48,0,2,0,0,0,83,14,0,79,0,1,0,0,0,0,1,0,29,38,16307
Dec-14,45,2,0,48,10,4,12,0,0,0,0,0,46,55,0,114,0,0,0,0,0,0,1,0,54,1,23057
Jan-15,8,0,0,17,27,10,13,0,1,0,0,0,42,8,0,0,0,0,38,0,0,0,0,0,15,39,19044
Feb-15,8,0,0,15,15,9,5,0,0,0,0,0,47,14,0,120,0,0,0,0,0,0,0,0,17,3,16838
Mar-15,10,0,0,13,13,11,46,37,1,0,0,0,125,10,0,114,0,0,0,0,0,0,0,0,15,1,24573
